State,Constituency,Candidate,Party,Votes
MP,ASHOK NAGAR ,BALKRISHN,Bahujan Samaj Party,9559
,,,,
MP,ASHOK NAGAR ,DEVILAL THEKEDAR,Sapaks Party,1462
,,,,
MP,ASHOK NAGAR ,JAGDISH BHANDARI (AHIRWAR),Bahujan Sangharshh Dal,1090
,,,,
MP,ASHOK NAGAR ,JEEVANDAS,Independent,613
,,,,
MP,ASHOK NAGAR ,V P SINGH JATAV,Independent,558
,,,,
MP,ASHOK NAGAR ,SHYAM SHAKYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),520
,,,,
MP,ASHOK NAGAR ,RAJ BAI,Mahanwadi Party,345
,,,,
MP,ASHOK NAGAR ,DAYALUDAS SHAKYA,Bhartiya Panchyat Party,287
,,,,
MP,ASHOK NAGAR ,LALLIRAM,Aam Aadmi Party,259
,,,,
MP,ASHOK NAGAR ,None of the Above,None of the Above,2004
,,,,
MP,ASHTA ,RAGHUNATH SINGH MALVIYA,Bharatiya Janata Party,92292
,,,,
MP,ASHTA ,GOPAL SINGH ENGINEER,Indian National Congress,86248
,,,,
MP,ASHTA ,KAMAL SINGH CHAUHAN,Prajatantrik Samadhan Party,17577
,,,,
MP,ASHTA ,SHAILESH VAIDYA,Bahujan Samaj Party,4487
,,,,
MP,ASHTA ,JAGANNATH SINGH,Independent,1181
,,,,
MP,ASHTA ,URMILA,Independent,1013
,,,,
MP,ASHTA ,RAM PRASAD,Shiv Sena,641
,,,,
MP,ASHTA ,GAJPAL SINGH,Independent,431
,,,,
MP,ASHTA ,SOBHAL SISODIYA,Bhartiya Panchyat Party,308
,,,,
MP,ASHTA ,None of the Above,None of the Above,2108
,,,,
MP,ATER ,ARVIND SINGH BHADORIA,Bharatiya Janata Party,58928
,,,,
MP,ATER ,HEMANT SATYADEV KATARE,Indian National Congress,53950
,,,,
MP,ATER ,SANJEEV BAGHEL,Bahujan Samaj Party,16585
,,,,
MP,ATER ,CHATUR SINGH,Independent,695
,,,,
MP,ATER ,NAND KISHOR YADAV,Samajwadi Party,645
,,,,
MP,ATER ,SHYAM SUNDAR SINGH YADAV,Loktantrik Samajwadi Party,636
,,,,
MP,ATER ,ASHOK SINGH BHADOURIA (KANAWAR),Aam Aadmi Party,520
,,,,
MP,ATER ,JALALUDDIN KHAN,Independent,328
,,,,
MP,ATER ,KOSHLENDRA SINGH,Independent,297
,,,,
MP,ATER ,CHANDRVEER SINGH,Independent,293
,,,,
MP,ATER ,GANESH SHINGH BHADORIA,Independent,270
,,,,
MP,ATER ,DINESH SINGH,Independent,255
,,,,
MP,ATER ,SONU,Independent,245
,,,,
MP,ATER ,AVDHESH RAJAWAT,Independent,220
,,,,
MP,ATER ,MITHLESH VIJAY MISHRA (RAJU KHERI),Sarva Samaj Kalyan Party,191
,,,,
MP,ATER ,OMPRAKASH LAHARIA,Independent,133
,,,,
MP,ATER ,SHIVCHARAN SINGH LODHI,Rashtriya Kranti Party,121
,,,,
MP,ATER ,JAY PRAKASH,Independent,121
,,,,
MP,ATER ,SANTOSH SHARMA,Independent,117
,,,,
MP,ATER ,HARENDRA SINGH BHADOURIYA,Independent,109
,,,,
MP,ATER ,UMESH GARG,Independent,102
,,,,
MP,ATER ,INDAL SINGH,Independent,97
,,,,
MP,ATER ,SARVESH SINGH,Independent,96
,,,,
MP,ATER ,RAMNARESH PAVAIYA (JAGNNATH),Independent,96
,,,,
MP,ATER ,ARVIND TYAGI,Independent,73
,,,,
MP,ATER ,SANTOSH KUMAR PACHAURI,Independent,69
,,,,
MP,ATER ,MUKESH KUMAR PORSIYA,Independent,37
,,,,
MP,ATER ,BHURI BAI,Independent,37
,,,,
MP,ATER ,MOHIT SINGH TOMAR,Independent,37
,,,,
MP,ATER ,VIKRANT SINGH,Independent,36
,,,,
MP,ATER ,RAJEEV SINGH BHADORIA,Independent,33
,,,,
MP,ATER ,VIRENDRA D SHARMA,Independent,31
,,,,
MP,ATER ,ENGINEER RAHUL DIXIT,Independent,30
,,,,
MP,ATER ,None of the Above,None of the Above,195
,,,,
MP,BADNAGAR,MURLI MORWAL,Indian National Congress,76802
,,,,
MP,BADNAGAR,SANJAY SHARMA,Bharatiya Janata Party,71421
,,,,
MP,BADNAGAR,DASHRATH SARVATE,Bahujan Samaj Party,1415
,,,,
MP,BADNAGAR,DR. ANAND VERMA,Bahujan Sangharshh Dal,1388
,,,,
MP,BADNAGAR,PRABHAT PURANIYA,Shiv Sena,879
,,,,
MP,BADNAGAR,DILIP GARWAL,Gondvana Gantantra Party,646
,,,,
MP,BADNAGAR,MAMTA RAJPUT,Independent,609
,,,,
MP,BADNAGAR,MUNNALAL GURJARWADIYA,Independent,597
,,,,
MP,BADNAGAR,GOPAL PANCHAL,Aam Aadmi Party,290
,,,,
MP,BADNAGAR,None of the Above,None of the Above,1442
,,,,
MP,BADNAWAR,RAJVARDHAN SINGH - PREMSINGH DATTIGAW,Indian National Congress,84499
,,,,
MP,BADNAWAR,BHANWARSINGH SHEKHAWAT,Bharatiya Janata Party,42993
,,,,
MP,BADNAWAR,RAJESH AGRAWAL,Independent,30976
,,,,
MP,BADNAWAR,VIKRAM SOLANKI,Gondvana Gantantra Party,2605
,,,,
MP,BADNAWAR,SAMRATH KASHYAP DHARSIKHEDA,Bahujan Samaj Party,2099
,,,,
MP,BADNAWAR,MUKESH KUMAR MANDLOI,Independent,1010
,,,,
MP,BADNAWAR,SANDIP PANWAR,Prajatantrik Samadhan Party,409
,,,,
MP,BADNAWAR,SHAILENDRA KUMAR,Aam Aadmi Party,398
,,,,
MP,BADNAWAR,None of the Above,None of the Above,2656
,,,,
