State,Constituency,Candidate,Party,Votes
,,,,
MP,PATHARIYA ,BHUSHAN SINGH,Independent,2577
,,,,
MP,PATHARIYA ,"CHANDRA MOHAN GURU ""CHANDA BHAIYA""",Aam Aadmi Party,2279
,,,,
MP,PATHARIYA ,GOOPI KUSHWAHA PATEL,Pichhara Samaj Party United,1430
,,,,
MP,PATHARIYA ,RAJESH PATEL,Independent,1250
,,,,
MP,PATHARIYA ,RAJKISHOR PATEL,Independent,1180
,,,,
MP,PATHARIYA ,BHAGAT SINGH LODHI,Independent,876
,,,,
MP,PATHARIYA ,DEEPENDRA SINGH (GOLU BHAIA),Independent,860
,,,,
MP,PATHARIYA ,CHOORAMAN AHIRWAR,Independent,757
,,,,
MP,PATHARIYA ,GANESH PRASAD PATEL,Gondvana Gantantra Party,718
,,,,
MP,PATHARIYA ,GANESH AHIRWAR,Independent,617
,,,,
MP,PATHARIYA ,LAKHAN GOURAV KUSMARIA,Independent,590
,,,,
MP,PATHARIYA ,RAMKUMAR DUBEY,Independent,565
,,,,
MP,PATHARIYA ,RAMBHAI ROSHAN PATEL,Independent,517
,,,,
MP,PATHARIYA ,LAKHAN BHAIYA,Independent,202
,,,,
MP,PATHARIYA ,None of the Above,None of the Above,468
,,,,
MP,PAWAI,PRAHLAD LODHI,Bharatiya Janata Party,79647
,,,,
MP,PAWAI,PANDIT MUKESH NAYAK,Indian National Congress,55967
,,,,
MP,PAWAI,BHUWAN VIKRAM SINGH (KESHU BHAIYA RAJA),Samajwadi Party,22384
,,,,
MP,PAWAI,SITA RAM PATEL ADVOCATE,Bahujan Samaj Party,14381
,,,,
MP,PAWAI,MAHIPAL SINGH,Gondvana Gantantra Party,9913
,,,,
MP,PAWAI,ANIL TIWARI,Aam Aadmi Party,3846
,,,,
MP,PAWAI,MANSUKH LAL,Independent,2275
,,,,
MP,PAWAI,P. MUKESH,Independent,1863
,,,,
MP,PAWAI,PRAKASH LODHI,Independent,1516
,,,,
MP,PAWAI,RAJU PRASAD LODHI,Bhartiya Shakti Chetna Party,1243
,,,,
MP,PAWAI,KAMLESH KUMAR GUPTA,Independent,1054
,,,,
MP,PAWAI,BALMAN KUSHWAHA,Rashtriya Lok Samta Party,805
,,,,
MP,PAWAI,KULDEEP TIWARI,Shiv Sena,792
,,,,
MP,PAWAI,GANGARAM KUSHWAHA,Jan Adhikar Party,481
,,,,
MP,PAWAI,None of the Above,None of the Above,3789
,,,,
MP,PETLAWAD,MAIDA VALSINGH,Indian National Congress,93425
,,,,
MP,PETLAWAD,NIRMALA  DILIPSINGH BHURIYA,Bharatiya Janata Party,88425
,,,,
MP,PETLAWAD,SACHIN BABULAL GAMAD,Independent,6579
,,,,
MP,PETLAWAD,RAMCHANDRA SOLANKI,Bahujan Samaj Party,2675
,,,,
MP,PETLAWAD,KEHAR SINGH MAIDA,Independent,1437
,,,,
MP,PETLAWAD,RALLU SINGH MEDA,Aam Aadmi Party,763
,,,,
MP,PETLAWAD,RAMESHWAR SINGAR,Bharatiya Bahujan Party,752
,,,,
MP,PETLAWAD,None of the Above,None of the Above,5148
,,,,
MP,PICHHORE,K. P. SINGH,Indian National Congress,91463
,,,,
MP,PICHHORE,PREETAM LODHI,Bharatiya Janata Party,88788
,,,,
MP,PICHHORE,LALARAM YADAV (JAMUNDHANA),Bahujan Samaj Party,4488
,,,,
MP,PICHHORE,SUNIL SHARMA,Independent,2495
,,,,
MP,PICHHORE,JITENDRA SINGH MAJHI,Pragatisheel Manav Samaj Party,1984
,,,,
MP,PICHHORE,SHANKAR SINGH,Independent,721
,,,,
MP,PICHHORE,SANJAY SHARMA,Independent,586
,,,,
MP,PICHHORE,RAMRATAN,Independent,288
,,,,
MP,PICHHORE,HARIGYAN,Bahujan Sangharshh Dal,280
,,,,
MP,PICHHORE,KESHAV SINGH,Independent,185
,,,,
MP,PICHHORE,MAHARAJ KUAR YADAV,Independent,179
,,,,
MP,PICHHORE,DWARAKA PRASAD YADAV,Independent,160
,,,,
MP,PICHHORE,K. P. KUSHWAHA,Independent,145
,,,,
MP,PICHHORE,KRISHNA PAL SINGH,Independent,132
,,,,
MP,PICHHORE,None of the Above,None of the Above,2443
,,,,
MP,PIPARIYA,THAKURDAS NAGWANSHI,Bharatiya Janata Party,84521
,,,,
MP,PIPARIYA,HARISH TULARAM BEMAN (MEHRA),Indian National Congress,66391
,,,,
MP,PIPARIYA,NANHELAL ROHAR VANSHKAR,Gondvana Gantantra Party,5353
,,,,
MP,PIPARIYA,BRAJESH ARYA,Bahujan Samaj Party,2491
,,,,
MP,PIPARIYA,SANJAY KORI,Aam Aadmi Party,2026
,,,,
MP,PIPARIYA,KADHORILAL GOLIYA,Republican Party of India (A),1632
,,,,
MP,PIPARIYA,SANJAY AHIRWAR,Bahujan Sangharshh Dal,1217
,,,,
MP,PIPARIYA,"MAHENDR KUMAR BELWANSHI ""KATIYA""",Independent,929
,,,,
MP,PIPARIYA,RAMLAL MEHRA,Akhil Bharat Hindu Mahasabha,751
,,,,
MP,PIPARIYA,None of the Above,None of the Above,3842
,,,,
MP,POHARI ,SURESH DHAKAD [RATHKHEDA],Indian National Congress,60654
,,,,
MP,POHARI ,KAILASH KUSHWAH,Bahujan Samaj Party,52736
,,,,
MP,POHARI ,PRAHLAD BHARTI,Bharatiya Janata Party,37268
,,,,
MP,POHARI ,RAKESH RAJAK,Independent,2271
,,,,
MP,POHARI ,AJMER SINGH KOTIYA,Jan Adhikar Party,1404
,,,,
MP,POHARI ,RAJENDRA SEHRIYA,Independent,1346
,,,,
MP,POHARI ,MANOJ,Independent,876
,,,,
MP,POHARI ,HANUMANT SINGH,Aajad Bharat Party (Democratic),773
,,,,
MP,POHARI ,TARACHAND,Independent,761
,,,,
MP,POHARI ,ADVOCATE RANJEET SINGH RAWAT,Swarnim Bharat Inquilab Party,686
,,,,
MP,POHARI ,SATENDR,Independent,593
,,,,
MP,POHARI ,ASHA RAM,Bahujan Sangharshh Dal,589
,,,,
MP,POHARI ,CHANDRA PRAKASH,Independent,553
,,,,
MP,POHARI ,HARKISHAN KUSHWAHA @ DEALAR SINGH,Rashtriya Lok Samta Party,526
,,,,
MP,POHARI ,RAM KUMAR,Independent,473
,,,,
MP,POHARI ,RAJGURU YADAV,Samajwadi Party,436
,,,,
MP,POHARI ,AJAY SINGH KUSHWAH,Independent,383
,,,,
MP,POHARI ,NARENDRA VYAS,Aam Aadmi Party,377
,,,,
MP,POHARI ,RAMSAHAY SHARMA,Bharatiya Rashtriya Mazdoor Dal,332
,,,,
MP,POHARI ,HARI SINGH,Independent,201
,,,,
MP,POHARI ,None of the Above,None of the Above,428
,,,,
MP,PRITHVIPUR,BRAJENDRA SINGH RATHORE,Indian National Congress,52436
,,,,
MP,PRITHVIPUR,DR. SHISHUPAL YADAV,Samajwadi Party,44816
,,,,
MP,PRITHVIPUR,KUSHWAHA NANDRAM,Bahujan Samaj Party,30043
,,,,
MP,PRITHVIPUR,ABHAY AKHAND PRATAP SINGH YADAV,Bharatiya Janata Party,10391
,,,,
MP,PRITHVIPUR,MUKESH BHADORIYA,Independent,1418
,,,,
MP,PRITHVIPUR,BHAIYA LAL ADIWASI,Independent,1052
,,,,
MP,PRITHVIPUR,RAKESH KUMHAR,Independent,974
,,,,
MP,PRITHVIPUR,AYODHYA PRASAD (A.P.),Aam Aadmi Party,972
,,,,
MP,PRITHVIPUR,SHISHUPAL YADAV,Independent,768
,,,,
MP,PRITHVIPUR,KAMMOD PRASAD,Nirbal Indian Shoshit Hamara Aam Dal,734
,,,,
MP,PRITHVIPUR,AVDHESH PRATAP SINGH BUNDELA,Independent,715
,,,,
MP,PRITHVIPUR,VIJAY KUMAR GHOSH,Independent,543
,,,,
MP,PRITHVIPUR,ANIL SAHU,Independent,500
,,,,
MP,PRITHVIPUR,RAHUL SINGH GHOSH,Naya Bharat Party,483
,,,,
MP,PRITHVIPUR,NANDRAM KUSHWAHA,Independent,466
,,,,
MP,PRITHVIPUR,RAJENDRA KUMAR KUSHAWAHA,Independent,453
,,,,
MP,PRITHVIPUR,KEVAT PARBATA,Independent,421
,,,,
MP,PRITHVIPUR,ABHAY VERMA,Independent,388
,,,,
MP,PRITHVIPUR,KEWAT PYARELAL,Independent,378
,,,,
MP,PRITHVIPUR,None of the Above,None of the Above,359
,,,,
MP,PUSPRAJGARH,PHUNDELAL SINGH MARKO,Indian National Congress,62352
,,,,
MP,PUSPRAJGARH,NARENDRA SINGH MARAVI,Bharatiya Janata Party,40951
,,,,
MP,PUSPRAJGARH,ANIL SINGH DHURWEY,Gondvana Gantantra Party,19579
,,,,
MP,PUSPRAJGARH,SUDAMA SINGH SINGRAM,Independent,5157
,,,,
MP,PUSPRAJGARH,AMIT PADAWAR (ADHIVAKTA),Bhartiya Shakti Chetna Party,3596
,,,,
MP,PUSPRAJGARH,VISHAMBHAR SINGH MARKO,Communist Party of India  (Marxist),2656
,,,,
MP,PUSPRAJGARH,PRAKASH SINGH DHURWEY,Independent,1798
,,,,
MP,PUSPRAJGARH,NAYAN SINGH DHURWEY,Bahujan Samaj Party,1713
,,,,
MP,PUSPRAJGARH,HUBLAL TANDIYA,Aam Aadmi Party,1586
,,,,
MP,PUSPRAJGARH,SAHDEV SINGH PARASTE SWAI.SE.NI.SHIKSHAK,Independent,1554
,,,,
MP,PUSPRAJGARH,NARAYAN SINGH TILGAM,Rashtriya Aamjan Party,1011
,,,,
MP,PUSPRAJGARH,NARBADA PRASAD SINGH DHURWEY (VAKIL),Rashtravyapi Janta Party,884
,,,,
MP,PUSPRAJGARH,ANUP SINGH TEKAM,Peoples Party of India (Democratic),768
,,,,
MP,PUSPRAJGARH,None of the Above,None of the Above,4072
,,,,
MP,RAGHOGARH,JAIVARDHAN SINGH,Indian National Congress,98268
,,,,
MP,RAGHOGARH,BHUPENDRA  SINGH RAGHUWANSHI,Bharatiya Janata Party,51571
,,,,
MP,RAGHOGARH,BANWARI LAL AHIRWAR,Bahujan Samaj Party,3630
,,,,
MP,RAGHOGARH,BHUPENDRA SINGH,Independent,1029
,,,,
MP,RAGHOGARH,SMT. RANJANA KUSHWAHA,Rashtriya Lok Samta Party,957
,,,,
MP,RAGHOGARH,BHOOPENDRA  SINGH,Independent,458
,,,,
MP,RAGHOGARH,ROOP SINGH DHAKAD,Aam Aadmi Party,446
,,,,
MP,RAGHOGARH,DOULA,Independent,386
,,,,
MP,RAGHOGARH,None of the Above,None of the Above,2683
,,,,
MP,RAIGAON,JUGUL KISHOR BAGRI,Bharatiya Janata Party,65910
,,,,
MP,RAIGAON,KALPANA VERMA,Indian National Congress,48489
,,,,
MP,RAIGAON,USHA CHAUDHARY,Bahujan Samaj Party,16677
,,,,
MP,RAIGAON,DEVRAJ AHIRWAR,Independent,2319
,,,,
MP,RAIGAON,DR. RAJENDRA KUMAR,Independent,1687
,,,,
MP,RAIGAON,UPENDRA KUMAR DAHAYAT,Aam Aadmi Party,1578
,,,,
MP,RAIGAON,SAVITRI ARJUN SINGH,Independent,1503
,,,,
MP,RAIGAON,DHARBENDRA RAM NARESH CHAUDHARY,Independent,1416
,,,,
MP,RAIGAON,BIMALA BAGRI - DHIRENDRA SINGH DHIRU,Sapaks Party,1181
,,,,
MP,RAIGAON,ADVOCATE RAJ BAHADUR BAGRI,Independent,1163
,,,,
MP,RAIGAON,AVINASH KUMAR (JEETU),Independent,657
,,,,
MP,RAIGAON,GYANENDRA ARYA (SUNIL),Rashtravadi Party (Bharat),502
,,,,
MP,RAIGAON,BACHCHA KANJAR,Jan Adhikar Party,481
,,,,
MP,RAIGAON,SANTOSH KUMAR PRAJAPATI,Peoples Party of India (Democratic),427
,,,,
MP,RAIGAON,RAM VISHWAS PRAJAPATI,Gondvana Gantantra Party,348
,,,,
MP,RAIGAON,RAM CHARIT VARMA,Bahujan Sangharshh Dal,334
,,,,
MP,RAIGAON,RAJENDRA PRASAD VARMA,Apna Dal (Soneylal),302
,,,,
MP,RAIGAON,None of the Above,None of the Above,1084
,,,,
MP,RAJGARH ,BAPUSINGH TANWAR,Indian National Congress,81921
,,,,
MP,RAJGARH ,AMAR SINGH YADAV,Bharatiya Janata Party,50738
,,,,
MP,RAJGARH ,PRATAP SINGH MANDLOI,Independent,33494
,,,,
MP,RAJGARH ,GORDHANSINGH TAWAR,Aam Aadmi Party,2125
,,,,
MP,RAJGARH ,THAKUR J.S. PARMAR,Bahujan Samaj Party,1233
,,,,
MP,RAJGARH ,FAKIRMOHMMAD,Independent,963
,,,,
MP,RAJGARH ,MANISH KUMAR YADAV,Independent,723
,,,,
MP,RAJGARH ,"SANJAY GUPTA ""PATRAKAR""",Sapaks Party,515
,,,,
MP,RAJGARH ,JASHVANT,Independent,381
,,,,
MP,RAJGARH ,IMAMUDDIN KHAN,Independent,281
,,,,
MP,RAJGARH ,AMAR SINGH,Independent,249
,,,,
MP,RAJGARH ,None of the Above,None of the Above,1608
,,,,
MP,RAJNAGAR,VIKRAM SINGH (NATI RAJA),Indian National Congress,40362
,,,,
MP,RAJNAGAR,ARVIND PATERIYA,Bharatiya Janata Party,39630
,,,,
MP,RAJNAGAR,VINOD KUMAR PATEL,Bahujan Samaj Party,28972
,,,,
MP,RAJNAGAR,"CHATURVEDI NITIN - ""BANTI BHAIYA""",Samajwadi Party,23783
,,,,
MP,RAJNAGAR,RAHUL SUREHA,Independent,1841
,,,,
MP,RAJNAGAR,ADVOCATE KULDEEP SINGH,Sapaks Party,1145
,,,,
MP,RAJNAGAR,MUHAMMAD SATTAR,Independent,1140
,,,,
MP,RAJNAGAR,IMRAN,Independent,1025
,,,,
MP,RAJNAGAR,SURAJ PATEL,Apna Dal (Soneylal),808
,,,,
MP,RAJNAGAR,AHIRWAR-MATADEEN,Independent,780
,,,,
MP,RAJNAGAR,GAUTAM PRAVIN URF MONU GAUTAM,Jan Adhikar Party,695
,,,,
MP,RAJNAGAR,BABADEEN AHIRWAR,Independent,615
,,,,
MP,RAJNAGAR,IKLAKH URF RAJJU SARDAR,Bhartiya Panchyat Party,581
,,,,
MP,RAJNAGAR,None of the Above,None of the Above,2485
,,,,
MP,RAJPUR (S.T.),BALA BACHCHAN,Indian National Congress,85513
,,,,
MP,RAJPUR (S.T.),ANTERSINGH DEVISINGH PATEL,Bharatiya Janata Party,84581
,,,,
MP,RAJPUR (S.T.),VIJAY CHOUHAN,Communist Party of India,2411
,,,,
MP,RAJPUR (S.T.),UMRAWSINGH BAGHEL,Aam Aadmi Party,1510
,,,,
MP,RAJPUR (S.T.),VINIT SENGAR,Bahujan Samaj Party,803
,,,,
MP,RAJPUR (S.T.),None of the Above,None of the Above,3358
,,,,
MP,RAMPUR BAGHELAN,VIKRAM SINGH(VIKKI),Bharatiya Janata Party,68816
,,,,
MP,RAMPUR BAGHELAN,RAMLAKHAN SINGH PATEL,Bahujan Samaj Party,53129
,,,,
MP,RAMPUR BAGHELAN,"""RAMSHANKAR PAYASI""",Indian National Congress,42501
,,,,
MP,RAMPUR BAGHELAN,K.K. SHUKLA,Communist Party of India  (Marxist),1948
,,,,
MP,RAMPUR BAGHELAN,ASHOK BAUDDH,Independent,1736
,,,,
MP,RAMPUR BAGHELAN,LAVKESH SINGH,Bhartiya Shakti Chetna Party,1419
,,,,
MP,RAMPUR BAGHELAN,AMBIKA KOL BHARTI,Independent,993
,,,,
MP,RAMPUR BAGHELAN,RAMKUSHAL KEWAT,Rashtriya mahan Gantantra Party,979
,,,,
MP,RAMPUR BAGHELAN,KRISHNA KUMAR SINGH,Sapaks Party,866
,,,,
MP,RAMPUR BAGHELAN,RAMKRISHN KOL,Independent,802
,,,,
MP,RAMPUR BAGHELAN,URMILA KOL,Independent,762
,,,,
MP,RAMPUR BAGHELAN,PRASHANT PANDEY,Aam Aadmi Party,702
,,,,
MP,RAMPUR BAGHELAN,PANKAJ SINGH,Rashtriya Sanyukt Samaj Party,582
,,,,
MP,RAMPUR BAGHELAN,BRAJENDRA PRASAD PANDEY,Independent,450
,,,,
MP,RAMPUR BAGHELAN,RAJESH PANDEY,Shiv Sena,409
,,,,
MP,RAMPUR BAGHELAN,GIRJA SINGH PATEL,Bahujan Sangharshh Dal,378
,,,,
MP,RAMPUR BAGHELAN,ENGINEER R.N. SINGH KUSHWAHA,Independent,360
,,,,
MP,RAMPUR BAGHELAN,AMIT SINGH TIWARI(ADVOCATE),All India Forward Bloc,335
,,,,
MP,RAMPUR BAGHELAN,GEETA RAMSINGH NAHAR(KUSHWAHA),Jan Adhikar Party,306
,,,,
MP,RAMPUR BAGHELAN,GORELAL,Lokpriya Samaj Party,300
,,,,
MP,RAMPUR BAGHELAN,"""SHYAMLAL PRAJAPATI""",Independent,208
,,,,
MP,RAMPUR BAGHELAN,SUNEEL MISHRA,Independent,191
,,,,
MP,RAMPUR BAGHELAN,RAM PRASAD YADAV,Independent,186
,,,,
MP,RAMPUR BAGHELAN,None of the Above,None of the Above,590
,,,,
MP,RATLAM CITY,CHETANYA  KASYAP,Bharatiya Janata Party,91986
,,,,
MP,RATLAM CITY,PREMLATA DAVE,Indian National Congress,48551
,,,,
MP,RATLAM CITY,HEMANT MEHTA,Sapaks Party,1156
,,,,
MP,RATLAM CITY,SHANKAR LAL,Bahujan Samaj Party,708
,,,,
MP,RATLAM CITY,RADHESHYAM MEHTA,Aam Aadmi Party,236
,,,,
MP,RATLAM CITY,JAHIR UDDIN,All India Hindustan Congress Party,164
,,,,
MP,RATLAM CITY,VIJAY SINGH YADAV,Swarnim Bharat Inquilab,157
,,,,
MP,RATLAM CITY,None of the Above,None of the Above,1529
,,,,
MP,RATLAM RURAL,DILIP KUMAR MAKWANA,Bharatiya Janata Party,79806
,,,,
MP,RATLAM RURAL,THAWARLAL BHURIYA,Indian National Congress,74201
,,,,
MP,RATLAM RURAL,KALURAM MAKWANA,Bahujan Samaj Party,2149
,,,,
MP,RATLAM RURAL,KAILASH DAMER,Shiv Sena,1341
,,,,
MP,RATLAM RURAL,PAPPU LAL CHARPOTA,All India Hindustan Congress Party,1101
,,,,
MP,RATLAM RURAL,KAILASHCHANDRA NINAMA,Bhartiya Jan Jagrook Party,975
,,,,
MP,RATLAM RURAL,None of the Above,None of the Above,2320
,,,,
MP,RAU ,JITU PATWARI,Indian National Congress,107740
,,,,
MP,RAU ,MADHU VERMA,Bharatiya Janata Party,102037
,,,,
MP,RAU ,RAJU YADAV,Bahujan Samaj Party,1172
,,,,
MP,RAU ,VIRENDRA CHANDEVA,Independent,531
,,,,
MP,RAU ,VIJAY JAT,Aam Aadmi Party,494
,,,,
MP,RAU ,MADHU VERMA,Independent,488
,,,,
MP,RAU ,JITENDRA SHARMA,Sapaks Party,456
,,,,
MP,RAU ,PANKAJ GUPTE,Independent,106
,,,,
MP,RAU ,MAMTA DWIVEDI,Sanjhi Virasat Party,101
,,,,
MP,RAU ,NARENDRA,Independent,87
,,,,
MP,RAU ,None of the Above,None of the Above,2475
,,,,
MP,REHLI,GOPAL BHARGAVA,Bharatiya Janata Party,93690
,,,,
MP,REHLI,KAMLESH SAHU,Indian National Congress,66802
,,,,
MP,REHLI,SIMARANI,Independent,1716
,,,,
MP,REHLI,ER.DEEPCHAND AHIRWAL,Bahujan Samaj Party,1101
,,,,
MP,REHLI,MAHESH LODHI,Independent,645
,,,,
MP,REHLI,YAMUNA PRASAD RAJU,Independent,627
,,,,
MP,REHLI,MUNNALAL (GOPAL),Independent,474
,,,,
MP,REHLI,RAJESH SINGH SOYAM,Gondvana Gantantra Party,204
,,,,
MP,REHLI,NANDRAM KURMI,Independent,188
,,,,
MP,REHLI,KAMLESH SAHU,Independent,130
,,,,
MP,REHLI,DASHRATH AHIRWAR,Independent,130
,,,,
MP,REHLI,ARUN (GOPAL),Independent,128
,,,,
MP,REHLI,NANHEBHAI,Independent,127
,,,,
MP,REHLI,DINESH PATEL,Independent,95
,,,,
MP,REHLI,None of the Above,None of the Above,2130
,,,,
MP,REWA,RAJENDRA SHUKLA,Bharatiya Janata Party,69806
,,,,
MP,REWA,ABHAY MISHRA,Indian National Congress,51717
,,,,
MP,REWA,KASIM KHAN,Bahujan Samaj Party,6427
,,,,
MP,REWA,KRISHNA KUMAR GUPTA (K.K.),Apna Dal (Soneylal),1603
,,,,
MP,REWA,SOMESH PRATAP SINGH,Sapaks Party,867
,,,,
MP,REWA,ENG. SURYABHAN JAISWAL,Peoples Party of India (Democratic),783
,,,,
MP,REWA,RAMAYAN SINGH,Samajwadi Party,751
,,,,
MP,REWA,SHIVENDRA DWIVEDI,Bhartiya Shakti Chetna Party,735
,,,,
MP,REWA,GAURAV VARMA,Aam Aadmi Party,478
,,,,
MP,REWA,AJIJ KHAN (MUNNA),Independent,336
,,,,
MP,REWA,SUBHRANSHU DWIVEDI - PADRI,Public Political Party,268
,,,,
MP,REWA,RAJENDRA SHUKLA,Independent,251
,,,,
MP,REWA,ADVOCATE VIJAY MISHRA,All India Forward Bloc,235
,,,,
MP,REWA,ROHIT PATIL,Shiv Sena,223
,,,,
MP,REWA,CHHOTELAL RAJAK,Bahujan Mukti Party,219
,,,,
MP,REWA,SHEMPOO VISHWAKARMA,Independent,199
,,,,
MP,REWA,KOMAL CHANDRA PATEL,Shoshit Samaj Dal,190
,,,,
MP,REWA,ADVOCATE DEEPAK GUPTA,Adhikar Vikas Party,175
,,,,
MP,REWA,ADV. DEVENDRA SHUKLA,Independent,156
,,,,
MP,REWA,PRASHANT SINGH BAGHEL,Janata Dal  (Secular),150
,,,,
MP,REWA,DEENANATH SEN,Janata Congress,145
,,,,
MP,REWA,HIMANSHU SHUKLA,Rashtriya Kisan Vikas Party,131
,,,,
MP,REWA,SUSHIL MISHRA (SABKE MAHARJ),Independent,112
,,,,
MP,REWA,"ARVIND TRIPATHI ""BHAYBHIT""",Independent,86
,,,,
MP,REWA,UMA MISHRA,Independent,75
,,,,
MP,REWA,None of the Above,None of the Above,660
,,,,
MP,SABALAGADH ,BAIJNATH KUSHWAH,Indian National Congress,54606
,,,,
MP,SABALAGADH ,LAL SINGH KEWAT,Bahujan Samaj Party,45869
,,,,
MP,SABALAGADH ,SARLA VIJENDRA RAWAT,Bharatiya Janata Party,45100
,,,,
MP,SABALAGADH ,COL.UMESH VERMA,Aam Aadmi Party,1532
,,,,
MP,SABALAGADH ,CHANDRA PRAKASH SHARMA,Independent,1433
,,,,
MP,SABALAGADH ,ARVIND,Shiv Sena,934
,,,,
MP,SABALAGADH ,DR.RAJENDRA SINGH RAWAT,Samajwadi Party,845
,,,,
MP,SABALAGADH ,PATIRAM SHAKYA,Independent,559
,,,,
MP,SABALAGADH ,DIBAI CHAND KEVAT,Independent,425
,,,,
MP,SABALAGADH ,NARESH SHRIVASH,Independent,399
,,,,
MP,SABALAGADH ,SHAILENDRA KUMAR GAUR,All India Forward Bloc,350
,,,,
MP,SABALAGADH ,RAVI SHARMA,Bhartiya Gramin Samaj Party,230
,,,,
MP,SABALAGADH ,USHA RAWAT,Bhartiya Panchyat Party,94
,,,,
MP,SABALAGADH ,None of the Above,None of the Above,994
,,,,
MP,SAGAR ,SHAILENDRA JAIN,Bharatiya Janata Party,67227
,,,,
MP,SAGAR ,NAVY JAIN,Indian National Congress,49861
,,,,
MP,SAGAR ,SANTOSH PRAJAPATI,Bahujan Samaj Party,5177
,,,,
MP,SAGAR ,ANKLESHWAR DUBEY (ANNI),Independent,1778
,,,,
MP,SAGAR ,JAGDISH YADAV,Samajwadi Party,1748
,,,,
MP,SAGAR ,PANKAJ SONI,Independent,1142
,,,,
MP,SAGAR ,LAKHAN LUCKY  RAJPUT,Sapaks Party,840
,,,,
MP,SAGAR ,DR. VANDANA RAMANUJ GUPTA,Independent,614
,,,,
MP,SAGAR ,INDRA VIKRAM SINGH,Aam Aadmi Party,394
,,,,
MP,SAGAR ,SATYENDRA GOSWAMI PT. MANGAL MAHARAJ,Independent,367
,,,,
MP,SAGAR ,PEER MOHAMMAD (JHAGDU MISTRI),Independent,314
,,,,
MP,SAGAR ,ARJUN AHIRWAR,Bahujan Mukti Party,287
,,,,
MP,SAGAR ,DAMODAR KORI,Independent,284
,,,,
MP,SAGAR ,HARVANSH GIRI GOSWAMI,Shiv Sena,264
,,,,
MP,SAGAR ,ANEET PATEL (KUSHWAHA),Rashtriya Lok Samta Party,197
,,,,
MP,SAGAR ,MUKESH AHIRWAR,Bhartiya Shakti Chetna Party,166
,,,,
MP,SAGAR ,AD. SANJAY  BABA  SEN,Independent,164
,,,,
MP,SAGAR ,SMT. SONA KUSHWAHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),124
,,,,
MP,SAGAR ,RAM GOPAL YADAV,Bhartiya Panchyat Party,112
,,,,
MP,SAGAR ,SITA DEVI DUBEY,Independent,76
,,,,
MP,SAGAR ,None of the Above,None of the Above,796
,,,,
MP,SAILANA ,"HARSH VIJAY GEHLOT ""GUDDU""",Indian National Congress,73597
,,,,
MP,SAILANA ,NARAYAN MAIDA,Bharatiya Janata Party,45099
,,,,
MP,SAILANA ,KAMLESHWAR DODIYAR,Independent,18726
,,,,
MP,SAILANA ,VIJAY HARI VIJAY,Loktantrik Janta Dal,11525
,,,,
MP,SAILANA ,KALUSINGH BHABHAR,Shiv Sena,2704
,,,,
MP,SAILANA ,PAVAN CHARAPOTA,Independent,2455
,,,,
MP,SAILANA ,JALAM SIH NINAMA,Bahujan Samaj Party,1543
,,,,
MP,SAILANA ,SURAJ BHABHAR,Independent,1537
,,,,
MP,SAILANA ,DHYANVEER DAMOR,Bhartiya Tribal Party,1305
,,,,
MP,SAILANA ,VIJAY VASUNIYA,All India Hindustan Congress Party,999
,,,,
MP,SAILANA ,JAGDISH MAKWANA,Bahujan Mukti Party,806
,,,,
MP,SAILANA ,PAWAN SINGH DODIYAR,Aam Aadmi Party,747
,,,,
MP,SAILANA ,None of the Above,None of the Above,3477
,,,,
MP,SANCHI (SC),DR. PRABHURAM CHOUDHARY,Indian National Congress,89567
,,,,
MP,SANCHI (SC),MUDIT SHEJWAR,Bharatiya Janata Party,78754
,,,,
MP,SANCHI (SC),RAJENDRA KUMAR (RAJJU BHAIYA),Independent,1483
,,,,
MP,SANCHI (SC),SMT. SHIV KUMARI,Bahujan Samaj Party,1029
,,,,
MP,SANCHI (SC),MANOHAR LAL MEHRA,Independent,882
,,,,
MP,SANCHI (SC),DEEWAN SINGH MALVIYA,Shiv Sena,763
,,,,
MP,SANCHI (SC),MR. ARUN KUMAR,Independent,436
,,,,
MP,SANCHI (SC),ANITA SWARAJ,Sapaks Party,420
,,,,
MP,SANCHI (SC),CHHAGAN LAL RAJAK,Independent,279
,,,,
MP,SANCHI (SC),PRAMODA KUMAR BELDAR,Aam Aadmi Party,187
,,,,
MP,SANCHI (SC),"""MUNNA"" ARJUN SINGH",Independent,179
,,,,
MP,SANCHI (SC),KOMAL SINGH DHAPLIWALA,Bhartiya Panchyat Party,156
,,,,
MP,SANCHI (SC),None of the Above,None of the Above,2519
,,,,
MP,SANWER,TULSIRAM SILAWAT,Indian National Congress,96535
,,,,
MP,SANWER,DR.RAJESH SONKAR,Bharatiya Janata Party,93590
,,,,
MP,SANWER,KAMAL CHOUHAN,Bahujan Samaj Party,2844
,,,,
MP,SANWER,ANIL CHOUHAN,Bahujan Sangharshh Dal,996
,,,,
MP,SANWER,RAHUL KHARE,Sampoorna Samaj Party,785
,,,,
MP,SANWER,RAHUL SILAWAT,Independent,690
,,,,
MP,SANWER,NARENDRA BOURASI,Independent,555
,,,,
MP,SANWER,BRAMHANAND MALVIYA,Aam Aadmi Party,538
,,,,
MP,SANWER,SUBHASH CHOUHAN,Prajatantrik Samadhan Party,422
,,,,
MP,SANWER,None of the Above,None of the Above,2591
,,,,
MP,SARANGPUR,KUNWARJI KOTHAR,Bharatiya Janata Party,75005
,,,,
