,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
165,58,PAWAI,PANDIT MUKESH NAYAK,Indian National Congress,23680,11695,PANDIT MUKESH NAYAK,Indian National Congress,Madhya Pradesh,PRAHLAD LODHI,Bharatiya Janata Party
166,195,PETLAWAD,NIRMALA  DILIPSINGH BHURIYA,Bharatiya Janata Party,5000,17016,NIRMALA DILIPSINGH BHURIYA,Bharatiya Janata Party,Madhya Pradesh,MAIDA VALSINGH,Indian National Congress
167,26,PICHHORE,PREETAM LODHI,Bharatiya Janata Party,2675,7113,K.P.SINGH KAKKAJU,Indian National Congress,Madhya Pradesh,K. P. SINGH,Indian National Congress
168,139,PIPARIYA,HARISH TULARAM BEMAN (MEHRA),Indian National Congress,18130,51157,THAKUR DAS NAGWANSHI,Bharatiya Janata Party,Madhya Pradesh,THAKURDAS NAGWANSHI,Bharatiya Janata Party
169,24,POHARI ,KAILASH KUSHWAH,Bahujan Samaj Party,7918,3625,PRAHLAD BHARTI,Bharatiya Janata Party,Madhya Pradesh,SURESH DHAKAD [RATHKHEDA],Indian National Congress
170,45,PRITHVIPUR,DR. SHISHUPAL YADAV,Samajwadi Party,7620,8627,ANITA-SUNIL NAYAK,Bharatiya Janata Party,Madhya Pradesh,BRAJENDRA SINGH RATHORE,Indian National Congress
171,88,PUSPRAJGARH,NARENDRA SINGH MARAVI,Bharatiya Janata Party,21401,35647,PHUNDELAL SINGH MARKO,Indian National Congress,Madhya Pradesh,PHUNDELAL SINGH MARKO,Indian National Congress
172,31,RAGHOGARH,BHUPENDRA  SINGH RAGHUWANSHI,Bharatiya Janata Party,46697,58204,JAIVARDHAN SINGH,Indian National Congress,Madhya Pradesh,JAIVARDHAN SINGH,Indian National Congress
173,62,RAIGAON,KALPANA VERMA,Indian National Congress,17421,4109,USHA CHOUDHARY,Bahujan Samaj Party,Madhya Pradesh,JUGUL KISHOR BAGRI,Bharatiya Janata Party
174,162,RAJGARH ,AMAR SINGH YADAV,Bharatiya Janata Party,31183,51211,AMARSINGH YADAV,Bharatiya Janata Party,Madhya Pradesh,BAPUSINGH TANWAR,Indian National Congress
175,50,RAJNAGAR,ARVIND PATERIYA,Bharatiya Janata Party,732,8607,KUN. VIKRAM SINGH URF. NATI RAJA,Indian National Congress,Madhya Pradesh,VIKRAM SINGH (NATI RAJA),Indian National Congress
176,188,RAJPUR (S.T.),ANTERSINGH DEVISINGH PATEL,Bharatiya Janata Party,932,11196,BALA BACHCHAN,Indian National Congress,Madhya Pradesh,BALA BACHCHAN,Indian National Congress
177,67,RAMPUR BAGHELAN,RAMLAKHAN SINGH PATEL,Bahujan Samaj Party,15687,24255,HARSH SINGH,Bharatiya Janata Party,Madhya Pradesh,VIKRAM SINGH(VIKKI),Bharatiya Janata Party
