,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
33,10,BHIND ,CHAUDHARY RAKESH SINGH CHATURVEDI,Bharatiya Janata Party,35896,5993,NARENDRA SINGH KUSHWAH,Bharatiya Janata Party,Madhya Pradesh,SANJEEV SINGH (SANJU),Bahujan Samaj Party
34,18,BHITARWAR,ANOOP MISHRA,Bharatiya Janata Party,12130,6548,LAKHAN SINGH YADAV,Indian National Congress,Madhya Pradesh,LAKHAN SINGH YADAV,Indian National Congress
35,141,BHOJPUR,SURESH PACHOURI,Indian National Congress,29486,20149,SURENDRA PATWA,Bharatiya Janata Party,Madhya Pradesh,SURENDRA PATWA,Bharatiya Janata Party
36,152,BHOPAL DAKSHINA-PASHCHIM ,UMASHANKAR GUPTA,Bharatiya Janata Party,6587,18198,UMASHANKAR GUPTA,Bharatiya Janata Party,Madhya Pradesh,P.C.SHARMA,Indian National Congress
37,153,BHOPAL MADHYA,SURENDRA NATH SINGH (MAMMA),Bharatiya Janata Party,14757,6981,SURENDRA NATH SINGH,Bharatiya Janata Party,Madhya Pradesh,ARIF MASOOD,Indian National Congress
38,150,BHOPAL UTTAR ,FATIMA RASOOL SIDDIQUI (GUDIYA),Bharatiya Janata Party,34857,6664,ARIF  AQUEEL,Indian National Congress,Madhya Pradesh,ARIF AQUEEL,Indian National Congress
39,161,BIAORA,NARAYAN SINGH PANWAR,Bharatiya Janata Party,826,3088,NARAYAN SINGH PANWAR,Bharatiya Janata Party,Madhya Pradesh,GOVARDHAN DANGI,Indian National Congress
40,105,BICHHIYA ,"DR. SHIVRAJ SHAH ""SHIVA BHAIYA""",Bharatiya Janata Party,21388,18316,PANDIT SINGH DHURWEY,Bharatiya Janata Party,Madhya Pradesh,NARAYAN SINGH PATTA,Indian National Congress
41,52,BIJAWAR,GUDDAN BHAIYA PUSHPENDRA NATH PATHAK,Bharatiya Janata Party,36714,10379,GUDDAN PATHAK (PUSHPENDRA  NATH),Bharatiya Janata Party,Madhya Pradesh,RAJESH KUMAR (BABLU BHAIYA),Samajwadi Party
42,35,BINA,SHASHI KATHORIA,Indian National Congress,632,18769,MAHESH RAI,Bharatiya Janata Party,Madhya Pradesh,MAHESH RAI,Bharatiya Janata Party
43,156,BUDHNI,ARUN SUBHASHCHANDRA,Indian National Congress,58999,84805,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,Madhya Pradesh,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party
44,180,BURHANPUR,ARCHANA DIDI,Bharatiya Janata Party,5120,22827,ARCHNA CHITNIS DIDI,Bharatiya Janata Party,Madhya Pradesh,"THAKUR SURENDRA SINGH NAVAL SINGH ""SHERA BHAIYA""",Independent
45,30,CHACHODA,MAMTA  MEENA,Bharatiya Janata Party,9797,34901,MAMTA  MEENA,Bharatiya Janata Party,Madhya Pradesh,LAKSHMAN SINGH,Indian National Congress
46,33,CHANDERI,BHUPENDRA DWIVEDI,Bharatiya Janata Party,4175,30318,GOPAL SINGH CHAUHAN DAGGI RAJA,Indian National Congress,Madhya Pradesh,GOPAL SINGH CHAUHAN (DAGGI RAJA),Indian National Congress
47,49,CHANDLA,ANURAGI HARPRASAD (GOPI MASTER),Indian National Congress,1177,37397,R D PRAJAPATI,Bharatiya Janata Party,Madhya Pradesh,RAJESH KUMAR PRAJAPATI,Bharatiya Janata Party
48,51,CHHATARPUR,ARCHNA GUDDU SINGH,Bharatiya Janata Party,3495,2217,LALITA YADAV,Bharatiya Janata Party,Madhya Pradesh,ALOK CHATURVEDI (PAJJAN BHAIYA),Indian National Congress
49,126,CHHINDWARA,CHOUDHARY CHANDRABHAN SINGH KUBER SINGH,Bharatiya Janata Party,14547,24778,CHOUDHARY CHANDRABHANSINGH KUBERSINGH,Bharatiya Janata Party,Madhya Pradesh,DEEPAK SAXENA,Indian National Congress
50,61,CHITRAKOOT,SURENDRA SINGH GAHARWAR,Bharatiya Janata Party,10198,10970,PREM SINGH,Indian National Congress,Madhya Pradesh,NEELANSHU CHATURVEDI,Indian National Congress
51,79,CHITRANGI ,SARASWATI SINGH,Indian National Congress,59248,9845,SARASWATI SINGH,Indian National Congress,Madhya Pradesh,AMAR SINGH,Bharatiya Janata Party
52,124,CHOURAI,PT. RAMESH DUBEY,Bharatiya Janata Party,13004,13631,PT. RAMESH DUDEY,Bharatiya Janata Party,Madhya Pradesh,CHOUDHARY SUJEET MER SINGH,Indian National Congress
53,76,CHURHAT,AJAY ARJUN SINGH,Indian National Congress,6402,19356,AJAY ARJUN SINGH,Indian National Congress,Madhya Pradesh,SHARADENDU TIWARI,Bharatiya Janata Party
54,19,DABARA ,KAPTAN SINGH SEHSARI,Bharatiya Janata Party,57446,33278,IMARTI  DEVI,Indian National Congress,Madhya Pradesh,IMARTI DEVI,Indian National Congress
55,55,DAMOH ,JAYANT MALAIYA,Bharatiya Janata Party,798,4953,JAYANT MALAIYA,Bharatiya Janata Party,Madhya Pradesh,RAHUL SINGH,Indian National Congress
56,22,DATIA,BHARTI RAJENDRA,Indian National Congress,2656,12081,DR. NAROTTAM MISHRA,Bharatiya Janata Party,Madhya Pradesh,DR.NAROTTAM MISHRA,Bharatiya Janata Party
57,38,DEORI,TEJI SINGH RAJPOOT,Bharatiya Janata Party,4304,22080,HARSH YADAV,Indian National Congress,Madhya Pradesh,HARSH YADAV,Indian National Congress
58,72,DEOTALAB,SEEMA JAIVEER SINGH SENGAR,Bahujan Samaj Party,1080,3885,GIRISH GAUTAM,Bharatiya Janata Party,Madhya Pradesh,GIRISH GAUTAM,Bharatiya Janata Party
59,203,DEPALPUR ,MANOJ NIRBHAYSINGH PATEL,Bharatiya Janata Party,9044,30197,MANOJ NIRBHAYSINGH PATEL,Bharatiya Janata Party,Madhya Pradesh,VISHAL JAGDISH PATEL,Indian National Congress
60,81,DEVSAR ,BANSHMANI PRASAD VERMA,Indian National Congress,10678,33214,RAJENDRA MESHRAM,Bharatiya Janata Party,Madhya Pradesh,SUBHASH RAM CHARITRA,Bharatiya Janata Party
61,171,DEWAS,THAKUR JAYSINGH,Indian National Congress,27987,50119,TUKOJIRAO PUAR,Bharatiya Janata Party,Madhya Pradesh,GAYATRI RAJE PUAR,Bharatiya Janata Party
62,201,DHAR ,PRABHA BALMUKUNDSINGH GOUTAM,Indian National Congress,5718,11482,NEENA VIKRAM VERMA,Bharatiya Janata Party,Madhya Pradesh,NEENA VIKRAM VERMA,Bharatiya Janata Party
63,200,DHARAMPURI,GOPAL KANNOJ,Bharatiya Janata Party,13972,7573,KALUSINGH THAKUR,Bharatiya Janata Party,Madhya Pradesh,PANCHILAL MEDA,Indian National Congress
64,82,DHOUHANI ,KAMLESH SINGH,Indian National Congress,3793,19001,KUNWAR SINGH TEKAM,Bharatiya Janata Party,Madhya Pradesh,KUNWAR SINGH TEKAM,Bharatiya Janata Party
65,7,DIMANI ,SHIV MANGAL SINGH TOMAR,Bharatiya Janata Party,18477,2106,BALVEER SINGH DANDOTIYA,Bahujan Samaj Party,Madhya Pradesh,GIRRAJ DANDOTIYA,Indian National Congress
66,104,DINDORI ,JAY SINGH MARAVI,Bharatiya Janata Party,32050,6388,OMKAR SINGH MARKAM,Indian National Congress,Madhya Pradesh,OMKAR SINGH MARKAM,Indian National Congress
67,209,DR.AMBEDKAR NAGAR -Mhow ,ANTAR SINGH DARBAR,Indian National Congress,7157,12216,KAILASH VIJAYVARGIYA,Bharatiya Janata Party,Madhya Pradesh,USHA THAKUR,Bharatiya Janata Party
68,121,GADARWARA,GAUTAM SINGH PATEL,Bharatiya Janata Party,15363,25313,GOVIND SINGH PATEL,Bharatiya Janata Party,Madhya Pradesh,SUNEETA PATEL,Indian National Congress
69,197,Gandhwani,SARDARSINGH MEHDA,Bharatiya Janata Party,38831,12326,UMANG SINGHAR,Indian National Congress,Madhya Pradesh,UMANG SINGHAR,Indian National Congress
70,227,GAROTH ,SUBHASH KUMAR SOJATIA,Indian National Congress,2108,25755,RAJESH YADAV DHARMVEER SINGH,Bharatiya Janata Party,Madhya Pradesh,DEVILAL DHAKAD (ADVOCATE),Bharatiya Janata Party
71,215,GHATIYA,AJIT PREMCHAND GUDDU,Bharatiya Janata Party,4628,17369,SATISH MALVIYA,Bharatiya Janata Party,Madhya Pradesh,RAMLAL MALVIYA,Indian National Congress
72,132,GHODADONGRI,GEETA RAMJILAL UIKEY,Bharatiya Janata Party,17927,8084,SAJJAN SINGH UEIKEY,Bharatiya Janata Party,Madhya Pradesh,BRAMHA BHALAVI,Indian National Congress
73,13,GOHAD ,LALSINGH ARYA,Bharatiya Janata Party,23989,19814,LAL SINGH ARYA,Bharatiya Janata Party,Madhya Pradesh,RANVIR JATAV,Indian National Congress
74,118,GOTEGAON,DR. KAILASH JATAV,Bharatiya Janata Party,12583,20171,DR. KAILASH JATAV,Bharatiya Janata Party,Madhya Pradesh,NARMADA PRASAD PRAJAPATI (N.P.),Indian National Congress
75,154,GOVINDPURA,GIRISH SHARMA,Indian National Congress,46359,70644,BABOOLAL GOUR,Bharatiya Janata Party,Madhya Pradesh,KRISHNA GAUR,Bharatiya Janata Party
76,29,GUNA ,CHANDRA PRAKASH AHIRWAR (BANTI),Indian National Congress,33667,45111,PANNALAL SHAKYA,Bharatiya Janata Party,Madhya Pradesh,GOPILAL JATAV,Bharatiya Janata Party
77,59,GUNNOUR,RAJESH KUMAR VERMA,Bharatiya Janata Party,1984,1337,MAHENDRA  SINGH,Bharatiya Janata Party,Madhya Pradesh,SHIVDAYAL BAGRI,Indian National Congress
78,75,GURH,"KAPIDHWAJ SINGH ""BHAIYA""",Samajwadi Party,7828,1382,SUNDAR LAL TIWARI,Indian National Congress,Madhya Pradesh,NAGENDRA SINGH,Bharatiya Janata Party
79,15,GWALIOR,JAI BHAN SINGH PAWAIYA,Bharatiya Janata Party,21044,15561,JAI BHAN SINGH PAWAIYA,Bharatiya Janata Party,Madhya Pradesh,PRADHUMAN SINGH TOMAR,Indian National Congress
80,16,GWALIOR EAST ,SATISH SINGH SIKARWAR,Bharatiya Janata Party,17819,1147,MAYA SINGH (MAMI),Bharatiya Janata Party,Madhya Pradesh,MUNNALAL GOYAL (MUNNA BHAIYA),Indian National Congress
81,14,GWALIOR RURAL,SAHAB SINGH GURJAR,Bahujan Samaj Party,1517,11938,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,Madhya Pradesh,BHARAT SINGH KUSHWAH,Bharatiya Janata Party
82,17,GWALIOR SOUTH,NARAYAN SINGH KUSHWAH,Bharatiya Janata Party,121,16267,NARAYAN SINGH KUSHWAH,Bharatiya Janata Party,Madhya Pradesh,PRAVEEN PATHAK,Indian National Congress
83,135,HARDA  ,DR. RAMKISHORE DOGNE,Indian National Congress,6667,4651,R K DOGNE,Indian National Congress,Madhya Pradesh,KAMAL PATEL,Bharatiya Janata Party
84,176,HARSUD,SUKHRAM SALVE,Indian National Congress,18949,43571,KUVAR VIJAY SHAH,Bharatiya Janata Party,Madhya Pradesh,KUNWAR VIJAY SHAH,Bharatiya Janata Party
85,172,HATPIPLIYA,DEEPAK KAILASH JOSHI,Bharatiya Janata Party,13519,6175,DEEPAK KAILASH  JOSHI,Bharatiya Janata Party,Madhya Pradesh,MANOJ NARAYAN SINGH CHOUDHARY,Indian National Congress
86,57,HATTA ,HARISHANKAR CHOUDHRI,Indian National Congress,19905,2852,UMADEVI-LALCHAND KHATIK,Bharatiya Janata Party,Madhya Pradesh,PURUSOTTAM/RAMKALI TANTUWAY HATTA,Bharatiya Janata Party
87,137,HOSHANGABAD,SARTAJ SINGH,Indian National Congress,15217,49296,DR SITA SHARAN SHARMA,Bharatiya Janata Party,Madhya Pradesh,DR.SITASARAN SHARMA,Bharatiya Janata Party
88,155,HUZUR,NARESH GYANCHANDANI,Indian National Congress,15725,59604,RAMESHWAR SHARMA,Bharatiya Janata Party,Madhya Pradesh,RAMESHWAR SHARMA,Bharatiya Janata Party
89,158,ICHHAWAR,SHAILENDRA PATEL,Indian National Congress,15869,744,SHAILENDRA RAMESH CHANDRA PATEL,Indian National Congress,Madhya Pradesh,KARAN SINGH VERMA,Bharatiya Janata Party
90,204,INDORE-1,SUDARSHAN GUPTA,Bharatiya Janata Party,8163,54176,ARYA SUDARSHAN GUPTA,Bharatiya Janata Party,Madhya Pradesh,SANJAY SHUKLA,Indian National Congress
91,205,INDORE-2,ADVOCATE MOHAN SINGH SENGAR,Indian National Congress,71011,91017,RAMESH MENDOLA,Bharatiya Janata Party,Madhya Pradesh,RAMESH MENDOLA,Bharatiya Janata Party
92,206,INDORE-3,ASHWIN JOSHI,Indian National Congress,5751,13318,MISS USHA THAKUR (DIDI),Bharatiya Janata Party,Madhya Pradesh,AKASH  KAILASH VIJAYVARGIYA,Bharatiya Janata Party
93,207,Indore-4,SURJEET SINGH UJAGAR SINGH CHADDA,Indian National Congress,43090,33823,MALINI LAXMAN SINGH GAUR,Bharatiya Janata Party,Madhya Pradesh,MALINI LAKSHMAN SINGH GAUR,Bharatiya Janata Party
94,208,INDORE-5,SATYANARAYAN PATEL,Indian National Congress,1133,14418,MAHENDRA HARDIA,Bharatiya Janata Party,Madhya Pradesh,MAHENDRA HARDIA,Bharatiya Janata Party
95,99,JABALPUR CANTT,PT. ALOK MISHRA,Indian National Congress,26585,53741,ASHOK ISHWARDAS ROHANI,Bharatiya Janata Party,Madhya Pradesh,ASHOK ISHWARDAS ROHANI,Bharatiya Janata Party
96,97,JABALPUR EAST,ANCHAL SONKER,Bharatiya Janata Party,35136,1155,ANCHAL SONKAR,Bharatiya Janata Party,Madhya Pradesh,LAKHAN GHANGHORIYA,Indian National Congress
97,98,JABALPUR NORTH,SHARAD JAIN,Bharatiya Janata Party,578,33563,SHARAD JAIN ADVOCATE,Bharatiya Janata Party,Madhya Pradesh,VINAY  SAXENA,Indian National Congress
98,100,JABALPUR WEST,"HARENDRAJEET SINGH ""BABBU""",Bharatiya Janata Party,18683,923,TARUN BHANOT,Indian National Congress,Madhya Pradesh,TARUN BHANOT,Indian National Congress
99,56,JABERA ,PRATAP SINGH,Indian National Congress,3485,11896,PRATAP SINGH,Indian National Congress,Madhya Pradesh,DHARMENDRA BHAV SINGH LODHI,Bharatiya Janata Party
100,84,JAISINGHNAGAR,DHAYAN SINGH MARCO,Indian National Congress,17267,13963,PRAMILA SINGH,Bharatiya Janata Party,Madhya Pradesh,JAISINGH MARAVI,Bharatiya Janata Party
101,85,JAITPUR,UMA DHURWEY,Indian National Congress,4216,11206,JAI SINGH MARAVI,Bharatiya Janata Party,Madhya Pradesh,MANISHA SINGH,Bharatiya Janata Party
102,222,JAORA,"K.K. SING , KALUKHEDA",Indian National Congress,511,29851,RAJENDRA PANDEY,Bharatiya Janata Party,Madhya Pradesh,"RAJENDRA PANDEY ""RAJU BHAIYA""",Bharatiya Janata Party
103,44,JATARA,R.R. BANSAL,Mahan Dal,36715,233,AHIRWAR DINESH KUMAR,Indian National Congress,Madhya Pradesh,KHATIK HARISHANKAR,Bharatiya Janata Party
104,4,JAURA,MANEERAM DHAKAD,Bahujan Samaj Party,15173,2498,SUBEDAR SINGH,Bharatiya Janata Party,Madhya Pradesh,BANAVAREELAL SHARMA (JAPTHAP),Indian National Congress
105,230,JAWAD,RAJKUMAR RAMESHCHANDRA  AHIR,Indian National Congress,4271,13651,OM PRAKASH SAKHLECHA,Bharatiya Janata Party,Madhya Pradesh,OM PRAKASH SAKHLECHA,Bharatiya Janata Party
106,193,JHABUA,DR. VIKRANT BHURIYA,Indian National Congress,10437,15858,SHANTILAL BILWAL,Bharatiya Janata Party,Madhya Pradesh,GUMANSINGH DAMOR,Bharatiya Janata Party
107,192,JOBAT ,MADHOSINGH DAWAR,Bharatiya Janata Party,2056,11051,MADHOSINGH DAWAR,Bharatiya Janata Party,Madhya Pradesh,KALAWATI BHURIYA,Indian National Congress
108,122,JUNNARDEO,ASHISH JHANAK LAL THAKUR,Bharatiya Janata Party,22688,20121,NATHAN SHAH KEVRETI,Bharatiya Janata Party,Madhya Pradesh,SUNIL UIKEY,Indian National Congress
109,169,KALAPIPAL,BABULAL VERMA,Bharatiya Janata Party,13699,9573,INDERSINGH PARMAR,Bharatiya Janata Party,Madhya Pradesh,KUNAL CHOUDHARY,Indian National Congress
110,23,KARERA ,RAJKUMAR OMPRAKASH KHATIK,Bharatiya Janata Party,14824,10320,SMT SHAKUNTLA KHATIK,Indian National Congress,Madhya Pradesh,JASMANT JATAVE CHITREE,Indian National Congress
111,184,KASRAWAD,ATMARAM - PATEL,Bharatiya Janata Party,5539,11805,SACHIN SUBHASHCHANDRA YADAV,Indian National Congress,Madhya Pradesh,SACHIN SUBHASHCHANDRA YADAV,Indian National Congress
112,113,KATANGI,K.D. DESHMUKH,Bharatiya Janata Party,11750,19950,K.  D. DESHMUKH,Bharatiya Janata Party,Madhya Pradesh,TAMLAL RAGHUJI SAHARE,Indian National Congress
113,116,KEOLARI,RAJNEESH HARVANSH SINGH,Indian National Congress,6679,4803,RAJNEESH HARBANSH SINGH,Indian National Congress,Madhya Pradesh,RAKESH PAL SINGH,Bharatiya Janata Party
114,177,KHANDWA,KUNDAN MALVIYA,Indian National Congress,19137,34071,DEVENDRA VERMA,Bharatiya Janata Party,Madhya Pradesh,DEVENDRA VERMA,Bharatiya Janata Party
115,47,KHARGAPUR,CHANDA-SURENDRA SINGH GOUR,Indian National Congress,11665,5677,CHANDA - SURENDRA SINGH GAUR,Indian National Congress,Madhya Pradesh,RAHUL SINGH LODHI,Bharatiya Janata Party
116,185,KHARGONE,BALKRISHAN PATIDAR,Bharatiya Janata Party,9512,6825,BALKRISHAN PATIDAR,Bharatiya Janata Party,Madhya Pradesh,RAVI RAMESHCHANDRA JOSHI,Indian National Congress
117,173,KHATEGAON,OM PATEL,Indian National Congress,7772,21717,AASHISH GOVIND SHARMA,Bharatiya Janata Party,Madhya Pradesh,AASHISH GOVIND SHARMA,Bharatiya Janata Party
118,163,KHILCHIPUR,HAJARILAL DANGI,Bharatiya Janata Party,29756,11479,KUNWAR HAJARILAL DANGI,Bharatiya Janata Party,Madhya Pradesh,PRIYAVRAT SINGH,Indian National Congress
119,36,KHURAI ,ARUNODAYA CHOUBEY (ANNU BHAIYA),Indian National Congress,15295,6084,BHOOPENDRA BHAIYA,Bharatiya Janata Party,Madhya Pradesh,BHUPENDRA BHAIYA,Bharatiya Janata Party
120,27,KOLARAS ,MAHENDRA RAMSINGH YADAV,Indian National Congress,720,24953,RAM SINGH YADAV,Indian National Congress,Madhya Pradesh,BIRENDRA RAGHUVANSHI,Bharatiya Janata Party
121,86,KOTAMA ,DILIP KUMAR JAISWAL,Bharatiya Janata Party,11429,1546,MANOJ  KUMAR   AGRAWAL,Indian National Congress,Madhya Pradesh,SUNEEL SARAF,Indian National Congress
122,198,KUKSHI ,VIRENDRA SINGH  BAGHEL,Bharatiya Janata Party,62930,42768,SURENDRASINGH HANI BAGHEL,Indian National Congress,Madhya Pradesh,SURENDRA SINGH  HONEY BAGHEL,Indian National Congress
123,146,KURWAI (SC),SUBHASH BOHAT ADVOCATE,Indian National Congress,16695,4081,VEERSINGH PANWAR,Bharatiya Janata Party,Madhya Pradesh,HARI SINGH SAPRE,Bharatiya Janata Party
124,11,LAHAR ,RASAL SINGH,Bharatiya Janata Party,9073,6273,DR. GOVIND SINGH,Indian National Congress,Madhya Pradesh,DR. GOVIND SINGH,Indian National Congress
125,117,LAKHANADON ,VIJAY KUMAR UIKEY,Bharatiya Janata Party,12276,12781,YOGENDRA SINGH  (BABA),Indian National Congress,Madhya Pradesh,"YOGENDRA SINGH ""BABA""",Indian National Congress
126,109,LANJI ,RAMESH DEELIP BHATERE,Bharatiya Janata Party,18696,31750,HINA LIKHIRAM KAWARE,Indian National Congress,Madhya Pradesh,HINA LIKHIRAM KAWRE,Indian National Congress
127,48,MAHARAJPUR,MANAVENDRA SINGH,Bharatiya Janata Party,14005,15721,MANVENDRA SINGH,Bharatiya Janata Party,Madhya Pradesh,NEERAJ VINOD DIXIT,Indian National Congress
128,183,MAHESHWAR,MEV RAJKUMAR,Independent,35836,4727,MEV RAJKUMAR,Bharatiya Janata Party,Madhya Pradesh,DR. VIJAYLAXMI SADHO,Indian National Congress
129,213,MAHIDPUR,DINESH JAIN BOSS,Independent,15220,20634,BHADURSINGH CHOUHAN,Bharatiya Janata Party,Madhya Pradesh,BAHADURSINGH CHOUHAN,Bharatiya Janata Party
130,65,MAIHAR,SHRIKANT CHATURVEDI,Indian National Congress,2984,6975,NARAYAN PRASAD,Indian National Congress,Madhya Pradesh,NARAYAN TRIPATHI,Bharatiya Janata Party
131,53,MALHARA,LALITA YADAV,Bharatiya Janata Party,15779,1514,AHIR REKHA YADAV,Bharatiya Janata Party,Madhya Pradesh,KUNWAR PRADYUMNA SINGH LODHI (MUNNA BHAIYA),Indian National Congress
132,225,MALHARGARH,PARSHURAM SISODIYA,Indian National Congress,11872,6571,JAGDISH DEWRA,Bharatiya Janata Party,Madhya Pradesh,JAGDISH DEWDA,Bharatiya Janata Party
133,228,MANASA ,UMRAO SINGH SHIVLAL,Indian National Congress,25954,14028,KAILASH CHAWLA,Bharatiya Janata Party,Madhya Pradesh,ANIRUDHA (MADHAV) MAROO,Bharatiya Janata Party
134,199,MANAWAR,RANJNA BAGHEL,Bharatiya Janata Party,39501,1639,RANJANA BAGHEL,Bharatiya Janata Party,Madhya Pradesh,DR. HIRALAL ALAWA,Indian National Congress
135,175,MANDHATA ,KU.NARENDRA SINGH TOMAR,Bharatiya Janata Party,1236,4337,LOKENDRA SINGH TOMAR,Bharatiya Janata Party,Madhya Pradesh,NARAYAN PATEL,Indian National Congress
