,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
105,33,Lachhmangarh,DINESH JOSHI,Bharatiya Janata Party,22052,10723,GOVIND SINGH DOTASARA,Indian National Congress,Rajasthan,GOVIND SINGH DOTASARA,Indian National Congress
106,106,Ladnun,MANOHAR SINGH,Bharatiya Janata Party,12947,23051,MANOHAR SINGH,Bharatiya Janata Party,Rajasthan,MUKESH KUMAR BHAKAR,Indian National Congress
107,191,Ladpura ,GULANAJ GUDDU,Indian National Congress,21656,16206,BHAWANI SINGH RAJAWAT,Bharatiya Janata Party,Rajasthan,KALPANA DEVI,Bharatiya Janata Party
108,89,Lalsot ,RAMBILAS,Bharatiya Janata Party,9074,491,DR. KIRODI LAL,National People’s Party,Rajasthan,PARSADI LAL,Indian National Congress
109,123,Lohawat,GAJENDRA SINGH,Bharatiya Janata Party,40876,19814,GAJENDRA SINGH,Bharatiya Janata Party,Rajasthan,KISANA RAM VISHNOI,Indian National Congress
110,130,Luni,JOGARAM PATEL,Bharatiya Janata Party,9157,35940,JOGARAM PATEL,Bharatiya Janata Party,Rajasthan,MAHENDRA VISHNOI,Indian National Congress
111,16,Lunkaransar,VIRENDRA BENIWAL,Indian National Congress,10853,4817,MANIK CHAND SURANA,Independent,Rajasthan,SUMIT GODARA,Bharatiya Janata Party
112,86,Mahuwa,RAJENDRA,Bharatiya Janata Party,9985,15658,OMPRAKASH,Bharatiya Janata Party,Rajasthan,OM PRAKASH HUDLA,Independent
113,113,Makrana,JAKIR HUSSAIN GESAWAT,Indian National Congress,1488,11778,SHREERAM BHINCHAR,Bharatiya Janata Party,Rajasthan,ROOPA RAM,Bharatiya Janata Party
114,94,Malpura,RANVEER PHALWAN,Rashtriya Lok Dal,29786,40221,KANHIYALAL,Bharatiya Janata Party,Rajasthan,KANHIYA LAL,Bharatiya Janata Party
115,54,Malviya Nagar,DR. ARCHANA SHARMA,Indian National Congress,1704,48718,KALICHARAN SARAF,Bharatiya Janata Party,Rajasthan,KALICHARAN SARAF,Bharatiya Janata Party
116,178,Mandal,PRADHYUMAN SINGH (HAPPY BANNA),Independent,8065,41434,KALU LAL GUJAR,Bharatiya Janata Party,Rajasthan,RAMLAL JAT,Indian National Congress
117,183,Mandalgarh ,VIVEK DHAKAR,Indian National Congress,10333,18540,KIRTIKUMARI,Bharatiya Janata Party,Rajasthan,GOPAL LAL SHARMA,Bharatiya Janata Party
118,28,Mandawa,KUM. RITA  CHOUDHARY,Indian National Congress,2346,17118,NARENDRA KUMAR,Independent,Rajasthan,NARENDRA KUMAR,Bharatiya Janata Party
119,200,Manohar thana,KAILASH CHAND,Indian National Congress,21869,34666,KANWAR LAL,Bharatiya Janata Party,Rajasthan,GOVIND PRASAD,Bharatiya Janata Party
120,119,Marwar junction,KESARAM CHOUDHARY,Bharatiya Janata Party,251,13653,KESARAM CHOUDHARY,Bharatiya Janata Party,Rajasthan,KHUSHVEER SINGH,Independent
121,104,Masuda,SUSHIL KANWAR,Bharatiya Janata Party,3374,4475,SUSHIL KANWAR ,Bharatiya Janata Party,Rajasthan,RAKESH PAREEK,Indian National Congress
122,154,Mavli,PUSHKAR LAL DANGI,Indian National Congress,26978,23465,DALI CHAND DANGI,Bharatiya Janata Party,Rajasthan,DHARMNARAYAN JOSHI,Bharatiya Janata Party
123,111,Merta ,LAXMAN RAM MEGHWAL,Independent,12835,35549,SUKHARAM,Bharatiya Janata Party,Rajasthan,INDIRA DEVI,Rashtriya Loktantrik Party
124,61,Mundawar,LALIT YADAV,Bahujan Samaj Party,17602,29417,DHARAM PAL CHOUDHARY,Bharatiya Janata Party,Rajasthan,MANJEET DHARAMPAL CHOUDHARY,Bharatiya Janata Party
125,74,Nadbai ,KRISHNENDRA KAUR (DEEPA),Bharatiya Janata Party,4094,14556,KRISHNENDRA KAUR (DEEPA),Bharatiya Janata Party,Rajasthan,JOGINDER SINGH AWANA,Bahujan Samaj Party
126,71,Nagar,NEM SINGH,Samajwadi Party,25467,8113,ANITA,Bharatiya Janata Party,Rajasthan,WAJIB ALI,Bahujan Samaj Party
127,109,NAGAUR,HABIBUR REHMAN ASHRAFI LAMBA,Indian National Congress,13008,5855,HABIBUR RAHMAN ASHRAFI LAMBA,Bharatiya Janata Party,Rajasthan,MOHAN RAM CHOUDHARY,Bharatiya Janata Party
128,102,Nasirabad,RAMNARAIN,Indian National Congress,16684,28900,SANWAR LAL,Bharatiya Janata Party,Rajasthan,RAMSWAROOP LAMBA,Bharatiya Janata Party
129,176,Nathdwara,MAHESH PRATAP SINGH,Bharatiya Janata Party,16940,12472,KALYANSINGH CHOUHAN,Bharatiya Janata Party,Rajasthan,C. P. JOSHI,Indian National Congress
130,29,Nawalgarh,RAVI SAINI,Bharatiya Janata Party,36500,33566,DR. RAJKUMAR SHARMA,Independent,Rajasthan,DR. RAJKUMAR SHARMA,Indian National Congress
131,115,Nawan,VIJAY SINGH,Bharatiya Janata Party,2256,29779,VIJAY SINGH,Bharatiya Janata Party,Rajasthan,MAHENDRA CHOUDHARY,Indian National Congress
132,38,Neem ka Thana,PREM SINGH BAJORE,Bharatiya Janata Party,12615,34202,PREM SINGH BAJOR,Bharatiya Janata Party,Rajasthan,SURESH MODI,Indian National Congress
133,170,Nimbahera,SHRICHAND KRIPLANI,Bharatiya Janata Party,11908,3370,SHRICHAND KRIPLANI,Bharatiya Janata Party,Rajasthan,ANJANA UDAILAL,Indian National Congress
134,95,Niwai ,RAM SAHAY VERMA,Bharatiya Janata Party,43889,5936,HIRA LAL,Bharatiya Janata Party,Rajasthan,PRASHANT BAIRWA,Indian National Congress
135,10,Nohar,ABHISHEK MATORIA,Bharatiya Janata Party,13727,26951,ABHISHEK MATORIA,Bharatiya Janata Party,Rajasthan,AMIT CHACHAN,Indian National Congress
136,18,Nokha,RAMESHWAR DUDI,Indian National Congress,8663,30794,RAMESHWAR LAL DUDI,Indian National Congress,Rajasthan,BIHARILAL,Bharatiya Janata Party
137,125,Osian,BHERA RAM CHOUDHARY,Bharatiya Janata Party,27590,15396,BHAIRA RAM CHOUDHARY,Bharatiya Janata Party,Rajasthan,DIVYA MADERNA,Indian National Congress
138,137,Pachpadra,AMARA RAM,Bharatiya Janata Party,2395,23237,AMRA RAM,Bharatiya Janata Party,Rajasthan,MADAN PRAJAPAT,Indian National Congress
139,118,Pali,BHEEMRAJ BHATI,Independent,19386,13673,GYANCHAND PARAKH,Bharatiya Janata Party,Rajasthan,GYANCHAND PARAKH,Bharatiya Janata Party
140,114,Parbatsar,MAN SINGH KINSARIYA,Bharatiya Janata Party,14485,16298,MANSINGH KINSARIYA,Bharatiya Janata Party,Rajasthan,RAMNIWAS GAWRIYA,Indian National Congress
141,122,Phalodi,MAHESH KUMAR,Indian National Congress,8737,34171,PABBA RAM,Bharatiya Janata Party,Rajasthan,PABBA RAM,Bharatiya Janata Party
142,44,Phulera ,VIDHYADHAR SINGH,Indian National Congress,1132,24297,NIRMAL KUMAWAT,Bharatiya Janata Party,Rajasthan,NIRMAL KUMAWAT,Bharatiya Janata Party
143,25,Pilani ,KAILASH CHAND,Bharatiya Janata Party,13539,13996,SUNDERLAL,Bharatiya Janata Party,Rajasthan,J.P. CHANDELIA,Indian National Congress
144,9,Pilibanga ,VINOD KUMAR,Indian National Congress,278,10198,DROPATI,Bharatiya Janata Party,Rajasthan,DHARMENDRA KUMAR,Bharatiya Janata Party
145,147,Pindwara abu ,LALA RAM GRASIYA,Indian National Congress,26974,30855,SAMARAM GRASIYA,Bharatiya Janata Party,Rajasthan,SAMA RAM GRASIYA,Bharatiya Janata Party
146,187,Pipalda,MAMTA SHARMA,Bharatiya Janata Party,14905,7749,VIDHYASHANKAR NANDWANA,Bharatiya Janata Party,Rajasthan,RAMNARAIN MEENA,Indian National Congress
147,133,Pokaran,PRATAPPURI,Bharatiya Janata Party,872,34444,SHAITAN SINGH,Bharatiya Janata Party,Rajasthan,SHALE MOHAMMAD,Indian National Congress
148,172,Pratapgarh ,HEMANT,Bharatiya Janata Party,16680,31938,NANDLAL MEENA,Bharatiya Janata Party,Rajasthan,RAMLAL,Indian National Congress
149,99,Pushkar,NASIM AKHTAR INSAF,Indian National Congress,9389,41290,SURESH SINGH RAWAT,Bharatiya Janata Party,Rajasthan,SURESH SINGH RAWAT,Bharatiya Janata Party
150,5,Raisingh Nagar,SHYOPAT RAM,Communist Party of India  (Marxist),33671,21238,SONADEVI,National Unionist Zamindara Party,Rajasthan,BALVEER SINGH LUTHRA,Bharatiya Janata Party
151,80,Rajakhera,ASHOK SHARMA,Bharatiya Janata Party,14991,26012,PRADHYUMN SINGH,Indian National Congress,Rajasthan,ROHIT BOHRA,Indian National Congress
152,68,Rajgarh laxmangarh ,VIJAY SAMARTH LAL,Bharatiya Janata Party,30298,8128,GOLMA,National People’s Party,Rajasthan,JOHARI LAL MEENA,Indian National Congress
153,175,Rajsamand,NARAYAN SINGH BHATI,Indian National Congress,24623,30575,KIRAN MAHESHWARI,Bharatiya Janata Party,Rajasthan,KIRAN MAHESHWARI,Bharatiya Janata Party
154,192,Ramganj mandi ,RAMGOPAL,Indian National Congress,12879,36919,CHANDRAKANTA MEGHWAL,Bharatiya Janata Party,Rajasthan,MADAN DILAWAR,Bharatiya Janata Party
155,145,Raniwara,RATAN,Indian National Congress,3405,32652,NARAYAN SINGH DEWAL,Bharatiya Janata Party,Rajasthan,NARAYAN SINGH DEWAL,Bharatiya Janata Party
156,23,Ratangarh,POOSARAM GODARA,Independent,11881,25158,RAJ KUMAR RINWA,Bharatiya Janata Party,Rajasthan,ABHINESH MAHARSHI,Bharatiya Janata Party
157,148,Reodar ,NEERAJ DANGI,Indian National Congress,14604,32244,JAGASI RAM,Bharatiya Janata Party,Rajasthan,JAGASI RAM,Bharatiya Janata Party
158,19,Sadulpur,MANOJ NYANGALI,Bahujan Samaj Party,18084,4826,MANOJ KUMAR,Bahujan Samaj Party,Rajasthan,KRISHNA POONIA,Indian National Congress
159,1,Sadulshahar,GURVEER SINGH BRAR,Bharatiya Janata Party,9676,4808,GURJANT SINGH,Bharatiya Janata Party,Rajasthan,JAGDISH CHANDER,Indian National Congress
160,160,Sagwara ,SHANKARLAL,Bharatiya Janata Party,4582,640,ANITA KATARA,Bharatiya Janata Party,Rajasthan,RAMPRASAD,Bhartiya Tribal Party
