,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
70,4,Premnagar,VIJAY PRATAP SINGH,Bharatiya Janata Party,15340,18327,KHELSAI SINGH,Indian National Congress,Chattisgarh,KHEL SAI SINGH,Indian National Congress
71,16,Raigarh,ROSHANLAL,Bharatiya Janata Party,14580,20592,ROSHAN LAL,Bharatiya Janata Party,Chattisgarh,PRAKASH SHAKRAJEET NAIK,Indian National Congress
72,48,Raipur City Gramin,NAND KUMAR SAHU (NANDE BHAIYA),Bharatiya Janata Party,10453,1861,SATYANARAYAN SHARMA,Indian National Congress,Chattisgarh,SATYANARAYAN SHARMA,Indian National Congress
73,50,Raipur City North,SHRI CHAND SUNDRANI,Bharatiya Janata Party,16341,3476,SHRICHAND SUNDRANI,Bharatiya Janata Party,Chattisgarh,KULDEEP JUNEJA,Indian National Congress
74,51,Raipur City South,KANHAIYA AGRAWAL,Indian National Congress,17496,34799,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,Chattisgarh,BRIJMOHAN AGRAWAL,Bharatiya Janata Party
75,49,Raipur City West,RAJESH MUNAT,Bharatiya Janata Party,12212,6160,RAJESH MUNAT,Bharatiya Janata Party,Chattisgarh,VIKAS UPADHYAY,Indian National Congress
76,54,Rajim,SANTOSH UPADHYAY,Bharatiya Janata Party,58132,2441,SANTOSH UPADHYAY,Bharatiya Janata Party,Chattisgarh,AMITESH SHUKLA,Indian National Congress
77,75,Rajnandgaon,KARUNA SHUKLA,Indian National Congress,16933,35866,DR. RAMAN,Bharatiya Janata Party,Chattisgarh,DR. RAMAN SINGH,Bharatiya Janata Party
78,7,Ramanujganj,RAMKISHUN SINGH,Bharatiya Janata Party,32916,11592,BRIHASPAT SINGH,Indian National Congress,Chattisgarh,BRIHASPAT SINGH,Indian National Congress
79,20,Rampur,PHOOL SINGH RATHIYA,Janta Congress Chhattisgarh (J),18175,9915,SHYAM LAL KANWAR,Indian National Congress,Chattisgarh,NANKI RAM KANWAR,Bharatiya Janata Party
80,68,Saja,LABHCHAND BAFNA,Bharatiya Janata Party,31535,9620,LABH CHAND BAFNA,Bharatiya Janata Party,Chattisgarh,RAVINDRA CHAUBE,Indian National Congress
81,35,Sakti,MEDHA RAM SAHU,Bharatiya Janata Party,30046,9033,DOCTOR KHILAWAN SAHU,Bharatiya Janata Party,Chattisgarh,CHARAN DAS MAHANT,Indian National Congress
82,8,Samri,SIDHNATH PAIKRA,Bharatiya Janata Party,21923,31823,DR. PREETAM RAM,Indian National Congress,Chattisgarh,CHINTAMANI MAHRAJ,Indian National Congress
83,59,Sanjari balod,PAWAN SAHU,Bharatiya Janata Party,27488,30433,BHAIYA RAM SINHA,Indian National Congress,Chattisgarh,SANGEETA SINHA,Indian National Congress
84,39,Saraipali,SHYAM TANDI,Bharatiya Janata Party,52288,28832,RAMLAL CHOUHAN,Bharatiya Janata Party,Chattisgarh,KISMAT LAL NAND,Indian National Congress
85,17,Sarangarh,KERA BAI  MANAHAR,Bharatiya Janata Party,52389,15844,KERABAI MANHAR,Bharatiya Janata Party,Chattisgarh,UTTARI GANPAT JANGDE,Indian National Congress
86,56,Sihawa,PINKY SHIVRAJ SHAH,Bharatiya Janata Party,45436,7487,SHRAVAN MARKAM,Bharatiya Janata Party,Chattisgarh,DR. LAKSHMI DHRUW,Indian National Congress
87,11,Sitapur,PROFESSOR GOPAL RAM,Bharatiya Janata Party,36137,17855,AMARJEET BHAGAT,Indian National Congress,Chattisgarh,AMARJEET BHAGAT,Indian National Congress
88,28,Takhatpur,SANTOSH KAUSHIK (GURUJI),Janta Congress Chhattisgarh (J),2991,608,RAJU SINGH KSHATRI,Bharatiya Janata Party,Chattisgarh,RASHMI ASHISH SINGH,Indian National Congress
89,66,Vaishali Nagar,BADRUDDIN QURESHI,Indian National Congress,18080,24448,VIDYARATAN BHASIN,Bharatiya Janata Party,Chattisgarh,VIDYA RATAN BHASIN,Bharatiya Janata Party
