MANOHAR UNTWAL,AGAR,Bharatiya Janata Party,82146

VIPIN WANKHEDE,AGAR,Indian National Congress,79656

BABULAL MALVIYA,AGAR,Aam Aadmi Party,2039

GOVIND SURYAVANSHI,AGAR,Bahujan Samaj Party,1978

SUNIL TULSEERAM ASTAY,AGAR,Bahujan Sangharshh Dal,1699

AMIT PHATROD,AGAR,Independent,1066

MADHU GEHLOT,AGAR,Independent,1046

RAJESH GOYAL,AGAR,Prajatantrik Samadhan Party,465

None of the Above,AGAR,None of the Above,2160

MUKESH RAWAT (PATEL),ALIRAJPUR,Indian National Congress,82017

CHOUHAN NAGAR SINGH,ALIRAJPUR,Bharatiya Janata Party,60055

JALM SINGH PATEL,ALIRAJPUR,Independent,4680

BHADIYA  DAWAR,ALIRAJPUR,Bahujan Samaj Party,2687

SHAMSHER SINGH CHOUHAN (PATEL),ALIRAJPUR,Independent,1654

None of the Above,ALIRAJPUR,None of the Above,4843

MANOJ CHAWLA,ALOTE,Indian National Congress,80821

JITENDRA THAWARCHAND GEHLOT,ALOTE,Bharatiya Janata Party,75373

MUKESH PANCHOLA TAL,ALOTE,Bahujan Sangharshh Dal,1687

ADVOCATE VINOD KATARIYA,ALOTE,Bahujan Samaj Party,1565

SUNIL KALYANE,ALOTE,Shiv Sena,1174

PURNIMA CHOUHAN,ALOTE,Aam Aadmi Party,485

None of the Above,ALOTE,None of the Above,2450

RAMKHELAWAN PATEL,AMARPATAN,Bharatiya Janata Party,59836

"DR. RAJENDRA KUMAR SINGH ""DADA BHAI""",AMARPATAN,Indian National Congress,56089

CHHANGELAL KOL,AMARPATAN,Bahujan Samaj Party,37918

OM PRAKASH GAUTAM,AMARPATAN,Independent,1908

RAJIV LOCHAN TIWARI,AMARPATAN,Independent,1625

AMIT KUMAR TIWARI,AMARPATAN,Samajwadi Party,1495

COM. RAJDHANI SINGH,AMARPATAN,Communist Party of India,1427

JITENDRA CHAURASIYA,AMARPATAN,Aam Aadmi Party,899

MO. HABEB,AMARPATAN,Apna Dal (Soneylal),794

DR. SANTOSH KUMAR GUPTA,AMARPATAN,Gondvana Gantantra Party,750

ER. VIRENDRA KUMAR PATEL,AMARPATAN,Independent,612

SHIVKUMAR TRIPATHI,AMARPATAN,Bharatiya Jan Morcha Party,487

'YOGI' PRADEEP TIWARI AD.,AMARPATAN,Sapaks Party,397

DINESH KEWAT (MANJHI),AMARPATAN,Rashtriya mahan Gantantra Party,376

DADHIBAL PRASAD PATEL,AMARPATAN,Akhil Bhartiya Apna Dal,261

None of the Above,AMARPATAN,None of the Above,2380

KAMLESH PRATAP SHAH,AMARWARA,Indian National Congress,71662

MANMOHAN SHAH BATTI,AMARWARA,Gondvana Gantantra Party,61269

PREMNARAYAN THAKUR,AMARWARA,Bharatiya Janata Party,53499

KALLULAL UIKEY,AMARWARA,Independent,3408

VINITA AMODIYA,AMARWARA,Independent,2294

SUMRAN UIKEY,AMARWARA,Bahujan Samaj Party,2099

GALIRAM BADIVA,AMARWARA,Independent,1529

