RAFEEK KHAN,Adarsh Nagar,Indian National Congress,88541

ASHOK PARNAMI,Adarsh Nagar,Bharatiya Janata Party,75988

SANDEEP SHARMA,Adarsh Nagar,Independent,1280

JITENDRA KUMAR HATWAL,Adarsh Nagar,Aam Aadmi Party,1247

KRISHAN KISHORE,Adarsh Nagar,Independent,1067

PAWAN GAUR,Adarsh Nagar,Independent,865

BABA ASHFAKUDDIN QURESHI,Adarsh Nagar,Independent,670

FARMIDA BANO,Adarsh Nagar,Independent,634

SANWAR LAL SHARMA,Adarsh Nagar,Bahujan Samaj Party,618

INDER KUMAR CHOPRA,Adarsh Nagar,Bharat Vahini Party,174

AMIT VYAS,Adarsh Nagar,Independent,165

MOHASIN QURESHI,Adarsh Nagar,Independent,163

LALCHAND SAINI,Adarsh Nagar,Independent,120

MOHAMMAD NADEEM,Adarsh Nagar,Independent,114

SHAKIL,Adarsh Nagar,Independent,113

BADAMI DEVI,Adarsh Nagar,Independent,94

MO. ABDULLA,Adarsh Nagar,Independent,88

ABDUL SAEED,Adarsh Nagar,Indian Peoples Green Party,86

AHSAN AHMAD ANSARI,Adarsh Nagar,Rashtriya Loktantrik Party,86

ABDUL AZIZ (BABBIE),Adarsh Nagar,Independent,85

INDERJEET KAUL,Adarsh Nagar,Shiv Sena,82

YOGESH SHARMA,Adarsh Nagar,Independent,82

NRASINGH PANDEY,Adarsh Nagar,Bharatiya Yuva Shakti,68

SHAHABUDDIN,Adarsh Nagar,Bhartiya Panchyat Party,65

MOINUDIN,Adarsh Nagar,Independent,65

RIAZUDDIN,Adarsh Nagar,Independent,63

MUJEEB KHAN,Adarsh Nagar,Jago Party,60

WASIM AHMAD,Adarsh Nagar,Independent,59

BADRI SINGH,Adarsh Nagar,Independent,46

RAJNEESH GAUR,Adarsh Nagar,Independent,45

RAJENDRA KUMAR BASWALA,Adarsh Nagar,Independent,45

None of the Above,Adarsh Nagar,None of the Above,1493

CHHAGANSINGH,Ahore,Bharatiya Janata Party,74928

SAVARAM PATEL,Ahore,Indian National Congress,43880

PANKAJ,Ahore,Bahujan Samaj Party,22808

JAGDISH CHOUDHARY,Ahore,Independent,2684

CHHAGNARAM,Ahore,Hindustan Janta Party,1204

MILAP CHAND JAIN,Ahore,Independent,1091

LAL CHAND,Ahore,Independent,1021

NIMBARAM,Ahore,Independent,644

