GAJENDRA SINGH KOSHLEY,Arang,Independent,379

DR. UDAY RATRE,Arang,Independent,361

NEHA BAGHEL,Arang,Bharatiya Bahujan Congress,360

TARJAN JANGADE,Arang,Independent,315

RIJHENDRA KUMAR DAHARIYA,Arang,Rashtriya Jansabha Party,265

ADVOCATE SHAILENDRA BANJARE(SHAKTI PUTRA ),Arang,Shakti Sena (Bharat Desh),202

None of the Above,Arang,None of the Above,1321

AMBICA SINGH DEO,Baikunthpur,Indian National Congress,48885

BHAIYALAL RAJWADE,Baikunthpur,Bharatiya Janata Party,43546

ENGR.SANJAY SINGH KAMRO,Baikunthpur,Gondvana Gantantra Party,20247

BIHARI LAL RAJWADE,Baikunthpur,Janta Congress Chhattisgarh (J),9236

SUNIL SINGH,Baikunthpur,Aam Aadmi Party,1504

RAM NARAYAN SAHU,Baikunthpur,Independent,1171

CHINTAMANI SANDILYA,Baikunthpur,Independent,710

GOPAL SINGH,Baikunthpur,Independent,615

RAM PRATAP SAHU,Baikunthpur,Bhartiya Panchyat Party,579

LAV SINGH UDAY,Baikunthpur,Rashtriya Gondvana Party,426

None of the Above,Baikunthpur,None of the Above,2630

PRAMOD KUMAR SHARMA,Balodabazar,Janta Congress Chhattisgarh (J),65251

JANAK RAM VERMA,Balodabazar,Indian National Congress,63122

TESU LAL DHURANDHAR,Balodabazar,Bharatiya Janata Party,48808

GANESH KUMAR AGRAWAL,Balodabazar,Independent,3093

GANGA RAM SHER,Balodabazar,Independent,3079

SANTOSH KUMAR YADU,Balodabazar,Shiv Sena,1634

MUKESH SAHU,Balodabazar,Independent,1530

KISHAN LAL,Balodabazar,Independent,1035

MANAHARAN LAL VERMA,Balodabazar,Aam Aadmi Party,979

ANIL KUMAR YADAV,Balodabazar,Ambedkarite Party of India,903

SMT. TIKESHWARI DHRUW,Balodabazar,Independent,824

GAUKARAN NISHAD,Balodabazar,Bhrashtachar Mukti Morcha,690

MAHENDRA KUMAR SAHU,Balodabazar,Chhattisgarh Swabhiman Manch,688

ASHWANI VERMA,Balodabazar,Independent,521

