GUVVALA BALARAJU,Achampet,Telangana Rashtra Samithi,88073

CHIKKUDU VAMSHIKRISHNA,Achampet,Indian National Congress,78959

MEDIPUR MALLESHWAR,Achampet,Bharatiya Janata Party,3222

SRINIVASULU KOYYALA,Achampet,Bahujan Samaj Party,821

MAHESH PALLE,Achampet,Independent,798

BODDUPALLY SHEKAR,Achampet,Bahujana Left Party,732

YELIMINETI RAJESH,Achampet,Independent,433

CHARAGONDA KRISHNAMMA,Achampet,Independent,291

GENTALA MALLAIAH,Achampet,Independent,269

MUDDAMOLLA RAJAMOULI,Achampet,Samajwadi Party,235

None of the Above,Achampet,None of the Above,2406

JOGU RAMANNA,Adilabad,Telangana Rashtra Samithi,74050

PAYAL SHANKER,Adilabad,Bharatiya Janata Party,47444

GANDRATH SUJATHA,Adilabad,Indian National Congress,32200

KOTHAPELLY NARAYANA,Adilabad,Rajyadhikara Party,4125

EERLA SATYANARAYANA,Adilabad,Bahujan Samaj Party,1352

KASTALA ARUN KUMAR,Adilabad,Independent,954

ANNAM DEVENDAR,Adilabad,Independent,838

DATTATRI ELCHALA,Adilabad,Nationalist Congress Party,659

AVULA YATHEENDRA NATH YADAV,Adilabad,Shiv Sena,616

DANDE SANDEEP,Adilabad,Ambedkarite Party of India,573

THOGARI RAMULU,Adilabad,Independent,553

Y. SANJAY REDDY,Adilabad,Aam Aadmi Party,490

KAMLE BHAGAVAN,Adilabad,Nava Praja Rajyam Party,454

PENDUR MANOHAR,Adilabad,Gondvana Gantantra Party,336

None of the Above,Adilabad,None of the Above,1149

GONGIDI SUNEETHA,Alair,Telangana Rashtra Samithi,94870

BUDIDA BIKSHAMAIAH,Alair,Indian National Congress,61784

KALLURI RAMCHANDRA REDDY,Alair,Bahujan Samaj Party,11923

MOTHKUPALLY NARSIMHULU,Alair,Bahujana Left Party,10473

DONTHIRI SRIDHAR REDDY,Alair,Bharatiya Janata Party,4967

KANDADI MANIPAL REDDY,Alair,Telugu Congress Party,1230

SARITHA JANNE,Alair,Samajwadi Party,1200

DHEERAVATH GOPI NAYAK,Alair,Independent,1112

VYLA SRINIVAS REDDY,Alair,Independent,913

BOLLARAM RAMESH,Alair,Independent,380

MORIGADI KRISHNA,Alair,Independent,358

KOTHA KISTAIAH,Alair,Ambedkar National Congress,315

GUJJULA RAMCHANDRA REDDY,Alair,Independent,260

REGU ANAND,Alair,Bahujana Rashtra Samithi,231

None of the Above,Alair,None of the Above,1465

ABRAHAM V.M.,Alampur,Telangana Rashtra Samithi,102105

S.A.SAMPATH KUMAR,Alampur,Indian National Congress,57426

HARIJANA ABRAHAM,Alampur,Samajwadi Forward Bloc,8803

B.RAJINI,Alampur,Bharatiya Janata Party,1965

B.HUSSAIN,Alampur,Bahujan Samaj Party,1066

T.SURESH MAHARAJ,Alampur,Independent,983

N.SOMESHWARI,Alampur,Independent,896

PRASANGI,Alampur,Pyramid Party of India,711

K. JAYAPAL,Alampur,Independent,517

K.VARAPRASAD RAO,Alampur,Bahujana Left Party,514

A.RAGHUVARDHAN,Alampur,Independent,364

D.LAXMANNA,Alampur,Independent,354

M. MADDLLETI,Alampur,Independent,250

H.PARUSHA RAMUDU,Alampur,Shiv Sena,237

None of the Above,Alampur,None of the Above,3492

KALERU  VENKATESHAM,Amberpet,Telangana Rashtra Samithi,61558

G.KISHAN REDDY,Amberpet,Bharatiya Janata Party,60542

NIJJANA RAMESH,Amberpet,Telangana Jana Samithi,4261

GADAPA SREEHARI GANGAPUTRA,Amberpet,Bahujana Left Party,1302

BATHULA RAVI,Amberpet,Independent,1052

KUSURU RAJPAL YADAV,Amberpet,Bahujan Samaj Party,605

RAMYA,Amberpet,Jatiya Mahila Party,541

KATTELA SUBHASH,Amberpet,Prajaa Swaraaj Party,454

A. MUJAHED,Amberpet,India Praja Bandhu Party,350

K. RAJA GOPAL NAIDU,Amberpet,Telangana Prajala Party,229

SHYAM RAO MERU,Amberpet,Independent,180

V.K. UPENDRA,Amberpet,Pyramid Party of India,164

M. DAYANAND SWAMY,Amberpet,Aam Aadmi Party,147

